k,t1,t2,t3
1,4.332e-04,6.570e+00,4.904e-04
1,4.369e-04,6.567e+00,5.248e-04
1,4.334e-04,6.567e+00,4.643e-04
1,4.303e-04,6.572e+00,4.991e-04
1,4.328e-04,6.569e+00,4.981e-04
1,4.360e-04,6.572e+00,4.951e-04
1,4.302e-04,6.572e+00,4.899e-04
1,4.475e-04,6.571e+00,5.242e-04
1,4.499e-04,6.567e+00,4.846e-04
1,4.357e-04,6.567e+00,4.891e-04
1,4.423e-04,6.572e+00,4.871e-04
1,4.396e-04,6.571e+00,4.895e-04
1,4.316e-04,6.572e+00,4.858e-04
1,4.379e-04,6.572e+00,4.806e-04
1,4.262e-04,6.571e+00,4.825e-04
2,4.325e-04,3.767e+00,4.837e-04
2,4.264e-04,3.768e+00,4.825e-04
2,4.221e-04,3.764e+00,4.795e-04
2,4.301e-04,3.768e+00,4.904e-04
2,4.370e-04,3.768e+00,4.821e-04
2,4.316e-04,3.768e+00,4.819e-04
2,4.405e-04,3.767e+00,4.818e-04
2,4.537e-04,3.767e+00,4.786e-04
2,4.405e-04,3.765e+00,4.907e-04
2,4.430e-04,3.763e+00,4.939e-04
2,4.374e-04,3.764e+00,4.801e-04
2,4.390e-04,3.768e+00,4.886e-04
2,4.396e-04,3.764e+00,4.968e-04
2,4.406e-04,3.768e+00,4.888e-04
2,4.344e-04,3.768e+00,4.818e-04
4,4.252e-04,2.453e+00,4.822e-04
4,4.281e-04,2.453e+00,4.788e-04
4,4.489e-04,2.447e+00,4.858e-04
4,4.245e-04,2.452e+00,4.812e-04
4,4.444e-04,2.453e+00,5.149e-04
4,4.410e-04,2.453e+00,4.848e-04
4,4.481e-04,2.452e+00,4.822e-04
4,4.163e-04,2.453e+00,4.839e-04
4,4.400e-04,2.454e+00,4.759e-04
4,4.241e-04,2.453e+00,4.806e-04
4,4.281e-04,2.449e+00,4.844e-04
4,4.236e-04,2.453e+00,4.808e-04
4,4.208e-04,2.453e+00,4.859e-04
4,4.334e-04,2.452e+00,4.863e-04
4,4.316e-04,2.449e+00,4.797e-04
8,4.260e-04,1.877e+00,4.829e-04
8,4.185e-04,1.876e+00,4.866e-04
8,4.338e-04,1.876e+00,4.811e-04
8,4.502e-04,1.876e+00,4.924e-04
8,4.223e-04,1.876e+00,4.969e-04
8,4.351e-04,1.876e+00,4.782e-04
8,4.368e-04,1.875e+00,4.761e-04
8,4.237e-04,1.874e+00,4.859e-04
8,4.310e-04,1.876e+00,4.829e-04
8,4.592e-04,1.875e+00,4.763e-04
8,4.209e-04,1.875e+00,4.757e-04
8,4.753e-04,1.875e+00,4.848e-04
8,4.466e-04,1.876e+00,4.830e-04
8,4.505e-04,1.876e+00,4.821e-04
8,4.229e-04,1.876e+00,4.783e-04
16,4.430e-04,1.607e+00,4.821e-04
16,4.371e-04,1.609e+00,5.028e-04
16,4.376e-04,1.612e+00,4.887e-04
16,4.433e-04,1.613e+00,4.935e-04
16,4.538e-04,1.613e+00,4.892e-04
16,4.430e-04,1.613e+00,4.892e-04
16,4.712e-04,1.609e+00,4.800e-04
16,4.439e-04,1.611e+00,4.892e-04
16,4.315e-04,1.613e+00,4.902e-04
16,4.405e-04,1.607e+00,4.925e-04
16,4.303e-04,1.614e+00,4.771e-04
16,4.320e-04,1.613e+00,4.966e-04
16,4.312e-04,1.608e+00,4.861e-04
16,4.450e-04,1.609e+00,4.840e-04
16,4.399e-04,1.609e+00,4.885e-04
32,4.352e-04,1.531e+00,4.769e-04
32,4.400e-04,1.531e+00,4.837e-04
32,4.385e-04,1.531e+00,4.940e-04
32,4.406e-04,1.527e+00,4.917e-04
32,4.937e-04,1.525e+00,5.003e-04
32,4.481e-04,1.532e+00,4.847e-04
32,4.555e-04,1.529e+00,4.900e-04
32,4.379e-04,1.531e+00,4.948e-04
32,4.438e-04,1.532e+00,4.944e-04
32,4.440e-04,1.532e+00,4.882e-04
32,4.290e-04,1.533e+00,4.858e-04
32,4.542e-04,1.530e+00,4.958e-04
32,4.372e-04,1.531e+00,4.732e-04
32,4.452e-04,1.532e+00,4.767e-04
32,4.317e-04,1.532e+00,4.846e-04
64,4.503e-04,1.432e+00,4.891e-04
64,4.359e-04,1.439e+00,4.810e-04
64,4.439e-04,1.438e+00,4.939e-04
64,4.368e-04,1.438e+00,4.963e-04
64,4.364e-04,1.438e+00,4.792e-04
64,4.324e-04,1.439e+00,4.845e-04
64,4.367e-04,1.438e+00,4.840e-04
64,4.472e-04,1.438e+00,4.878e-04
64,4.399e-04,1.438e+00,4.891e-04
64,4.385e-04,1.439e+00,4.797e-04
64,4.298e-04,1.438e+00,4.786e-04
64,4.315e-04,1.438e+00,4.778e-04
64,4.438e-04,1.438e+00,4.908e-04
64,4.458e-04,1.433e+00,4.916e-04
64,4.318e-04,1.435e+00,4.747e-04
128,4.530e-04,1.407e+00,4.904e-04
128,4.669e-04,1.410e+00,4.753e-04
128,4.657e-04,1.411e+00,4.925e-04
128,4.382e-04,1.411e+00,4.822e-04
128,4.370e-04,1.412e+00,4.834e-04
128,4.371e-04,1.411e+00,4.895e-04
128,4.349e-04,1.411e+00,4.792e-04
128,4.446e-04,1.412e+00,4.849e-04
128,4.322e-04,1.411e+00,4.930e-04
128,4.397e-04,1.412e+00,4.869e-04
128,4.671e-04,1.413e+00,4.888e-04
128,4.362e-04,1.412e+00,4.802e-04
128,4.254e-04,1.412e+00,4.856e-04
128,4.333e-04,1.411e+00,4.892e-04
128,4.406e-04,1.412e+00,4.865e-04
256,4.580e-04,1.413e+00,4.880e-04
256,4.352e-04,1.413e+00,4.753e-04
256,4.464e-04,1.406e+00,4.802e-04
256,4.271e-04,1.413e+00,4.810e-04
256,4.490e-04,1.413e+00,4.933e-04
256,4.510e-04,1.411e+00,4.960e-04
256,4.474e-04,1.411e+00,4.844e-04
256,4.173e-04,1.411e+00,4.777e-04
256,4.546e-04,1.406e+00,5.055e-04
256,4.498e-04,1.406e+00,4.936e-04
256,4.784e-04,1.413e+00,4.936e-04
256,4.576e-04,1.407e+00,4.929e-04
256,4.444e-04,1.408e+00,4.948e-04
256,4.209e-04,1.413e+00,4.835e-04
256,4.430e-04,1.412e+00,4.897e-04
512,4.457e-04,1.418e+00,4.856e-04
512,4.469e-04,1.417e+00,4.843e-04
512,4.523e-04,1.418e+00,4.786e-04
512,4.482e-04,1.416e+00,4.836e-04
512,4.443e-04,1.417e+00,4.963e-04
512,4.399e-04,1.419e+00,4.934e-04
512,4.263e-04,1.418e+00,4.818e-04
512,4.397e-04,1.418e+00,4.749e-04
512,4.611e-04,1.418e+00,4.800e-04
512,4.508e-04,1.417e+00,4.908e-04
512,4.298e-04,1.418e+00,4.754e-04
512,4.435e-04,1.417e+00,4.978e-04
512,4.832e-04,1.418e+00,4.788e-04
512,4.474e-04,1.418e+00,4.737e-04
512,4.603e-04,1.418e+00,4.878e-04
1024,4.570e-04,1.423e+00,4.845e-04
1024,4.424e-04,1.419e+00,4.933e-04
1024,4.258e-04,1.423e+00,4.749e-04
1024,4.351e-04,1.424e+00,4.816e-04
1024,4.315e-04,1.424e+00,4.854e-04
1024,4.219e-04,1.424e+00,4.710e-04
1024,4.256e-04,1.424e+00,4.716e-04
1024,4.447e-04,1.424e+00,4.853e-04
1024,4.264e-04,1.424e+00,4.727e-04
1024,4.468e-04,1.424e+00,4.745e-04
1024,4.470e-04,1.424e+00,4.962e-04
1024,4.382e-04,1.424e+00,4.862e-04
1024,4.425e-04,1.424e+00,4.807e-04
1024,4.379e-04,1.423e+00,4.789e-04
1024,4.282e-04,1.424e+00,4.780e-04